CPU: 0.1069998933014184  Memory: 0.08341115 
CPU: 0.1069998933014184  Memory: 0.08341115 
CPU: 0.1069998933014184  Memory: 0.08341115 
CPU: 0.1069998933014184  Memory: 0.08345909 
CPU: 0.1069998933014184  Memory: 0.08353099 
CPU: 0.1069998933014184  Memory: 0.08353099 
CPU: 0.1069998933014184  Memory: 0.08353099 
CPU: 0.1069998933014184  Memory: 0.08357893 
CPU: 0.1069998933014184  Memory: 0.08357893 
CPU: 0.1069998933014184  Memory: 0.083602905 
CPU: 0.1069998933014184  Memory: 0.08365084 
CPU: 0.1069998933014184  Memory: 0.08369878 
CPU: 0.10699618799117241  Memory: 0.08372275 
CPU: 0.10699618799117241  Memory: 0.083770685 
CPU: 0.10699618799117241  Memory: 0.083770685 
CPU: 0.10699618799117241  Memory: 0.08381862 
CPU: 0.10699618799117241  Memory: 0.08381862 
CPU: 0.10699618799117241  Memory: 0.08384259 
CPU: 0.10699618799117241  Memory: 0.08389053 
CPU: 0.10699618799117241  Memory: 0.08389053 
CPU: 0.10699618799117241  Memory: 0.083938465 
CPU: 0.11062003681080841  Memory: 0.07329635 
CPU: 0.11062003681080841  Memory: 0.07339223 
CPU: 0.11062003681080841  Memory: 0.073416196 
CPU: 0.11062003681080841  Memory: 0.073416196 
CPU: 0.11062003681080841  Memory: 0.07346413 
CPU: 0.11062003681080841  Memory: 0.07346413 
CPU: 0.11062003681080841  Memory: 0.0734881 
CPU: 0.11062003681080841  Memory: 0.07353604 
CPU: 0.11062003681080841  Memory: 0.07353604 
CPU: 0.11062003681080841  Memory: 0.073607944 
CPU: 0.11062003681080841  Memory: 0.07363191 
CPU: 0.11061801552540308  Memory: 0.07363191 
CPU: 0.11061801552540308  Memory: 0.07365588 
CPU: 0.11061801552540308  Memory: 0.07367985 
CPU: 0.11061801552540308  Memory: 0.07370382 
CPU: 0.11061801552540308  Memory: 0.07372779 
CPU: 0.11061801552540308  Memory: 0.07377572 
CPU: 0.11061801552540308  Memory: 0.07379969 
CPU: 0.11061801552540308  Memory: 0.07379969 
CPU: 0.11061801552540308  Memory: 0.07384763 
CPU: 0.11061801552540308  Memory: 0.0738716 
CPU: 0.11061801552540308  Memory: 0.073895566 
CPU: 0.11061801552540308  Memory: 0.073919535 
CPU: 0.11061801552540308  Memory: 0.074039385 
CPU: 0.11061801552540308  Memory: 0.07408732 
CPU: 0.11061801552540308  Memory: 0.07413526 
CPU: 0.11061801552540308  Memory: 0.07415923 
CPU: 0.11061801552540308  Memory: 0.07415923 
CPU: 0.11061801552540308  Memory: 0.0742551 
CPU: 0.11061801552540308  Memory: 0.07430304 
CPU: 0.11061801552540308  Memory: 0.07430304 
CPU: 0.11061801552540308  Memory: 0.074350975 
CPU: 0.11061801552540308  Memory: 0.074350975 
CPU: 0.11061801552540308  Memory: 0.074374944 
CPU: 0.11061801552540308  Memory: 0.074374944 
CPU: 0.11061801552540308  Memory: 0.07439891 
CPU: 0.11061801552540308  Memory: 0.07442288 
CPU: 0.10698497177822032  Memory: 0.086095646 
CPU: 0.11061801552540308  Memory: 0.07444685 
CPU: 0.11061801552540308  Memory: 0.07447082 
CPU: 0.11061801552540308  Memory: 0.07449479 
CPU: 0.11061801552540308  Memory: 0.07461463 
CPU: 0.11061801552540308  Memory: 0.07475844 
CPU: 0.11061801552540308  Memory: 0.07485432 
CPU: 0.10698119059103407  Memory: 0.08741393 
CPU: 0.11061801552540308  Memory: 0.07490226 
CPU: 0.10698119059103407  Memory: 0.08741393 
CPU: 0.11061801552540308  Memory: 0.074950196 
CPU: 0.10697741699538346  Memory: 0.087485835 
CPU: 0.10697741699538346  Memory: 0.087797426 
CPU: 0.11061599822935114  Memory: 0.07523782 
CPU: 0.10697741699538346  Memory: 0.08784536 
CPU: 0.11061599822935114  Memory: 0.07526179 
CPU: 0.10697741699538346  Memory: 0.08786933 
CPU: 0.11061599822935114  Memory: 0.07530972 
CPU: 0.10697741699538346  Memory: 0.08786933 
CPU: 0.11061599822935114  Memory: 0.07530972 
CPU: 0.11061599822935114  Memory: 0.07533369 
CPU: 0.11061599822935114  Memory: 0.07535766 
CPU: 0.11061599822935114  Memory: 0.07535766 
CPU: 0.10697741699538346  Memory: 0.08791727 
CPU: 0.11061599822935114  Memory: 0.07538163 
CPU: 0.10697741699538346  Memory: 0.08806109 
CPU: 0.11061599822935114  Memory: 0.0754056 
CPU: 0.10697741699538346  Memory: 0.088085055 
CPU: 0.11061599822935114  Memory: 0.075429566 
CPU: 0.10697741699538346  Memory: 0.08813299 
CPU: 0.11061599822935114  Memory: 0.07550147 
CPU: 0.10697741699538346  Memory: 0.08813299 
CPU: 0.10697741699538346  Memory: 0.08815696 
CPU: 0.11061599822935114  Memory: 0.07566925 
CPU: 0.10697741699538346  Memory: 0.08815696 
CPU: 0.11061599822935114  Memory: 0.07569322 
CPU: 0.11061599822935114  Memory: 0.07569322 
CPU: 0.11061599822935114  Memory: 0.075741164 
CPU: 0.11061599822935114  Memory: 0.075741164 
CPU: 0.11061599822935114  Memory: 0.07576513 
CPU: 0.11061599822935114  Memory: 0.07581307 
CPU: 0.11061599822935114  Memory: 0.07586101 
CPU: 0.10697741699538346  Memory: 0.08818093 
CPU: 0.11061599822935114  Memory: 0.075884975 
CPU: 0.11061599822935114  Memory: 0.075884975 
CPU: 0.11061599822935114  Memory: 0.075908944 
CPU: 0.11061599822935114  Memory: 0.07607672 
CPU: 0.11061599822935114  Memory: 0.07607672 
CPU: 0.11061599822935114  Memory: 0.07607672 
CPU: 0.11061599822935114  Memory: 0.07612466 
CPU: 0.11061599822935114  Memory: 0.07614863 
CPU: 0.11061599822935114  Memory: 0.0761726 
CPU: 0.11061599822935114  Memory: 0.076196566 
CPU: 0.11061599822935114  Memory: 0.076220535 
CPU: 0.11061599822935114  Memory: 0.0762445 
CPU: 0.11061599822935114  Memory: 0.07629244 
CPU: 0.11061385140911091  Memory: 0.07629244 
CPU: 0.10697340125034072  Memory: 0.090433985 
